date,nav,amfi_code,scheme_name
03-06-2026,3235.74190,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-06-2026,3236.67520,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
01-06-2026,3234.63270,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
31-05-2026,3233.47970,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
29-05-2026,3232.35380,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-05-2026,3230.55680,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
26-05-2026,3228.96430,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
25-05-2026,3228.87190,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
22-05-2026,3225.42360,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
21-05-2026,3224.25940,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-05-2026,3226.94260,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
19-05-2026,3227.49580,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
18-05-2026,3226.02000,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
15-05-2026,3230.36040,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
14-05-2026,3232.53290,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
13-05-2026,3232.96880,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
12-05-2026,3232.78210,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
11-05-2026,3234.40070,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
08-05-2026,3237.06400,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
07-05-2026,3237.38100,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
06-05-2026,3235.72570,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
05-05-2026,3229.76860,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
04-05-2026,3230.91760,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
30-04-2026,3227.92960,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
29-04-2026,3229.81460,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
28-04-2026,3231.11500,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-04-2026,3232.83960,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
24-04-2026,3230.02860,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
23-04-2026,3231.41040,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
22-04-2026,3233.67380,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
21-04-2026,3233.81860,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-04-2026,3234.31210,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
17-04-2026,3232.72150,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
16-04-2026,3232.98480,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
15-04-2026,3232.37880,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
13-04-2026,3226.99060,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
10-04-2026,3225.90810,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
09-04-2026,3222.89740,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
08-04-2026,3220.08730,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
07-04-2026,3208.89360,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
06-04-2026,3207.04230,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-04-2026,3204.54270,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
31-03-2026,3207.37730,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
30-03-2026,3206.80960,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-03-2026,3206.54900,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
25-03-2026,3208.61360,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
24-03-2026,3208.49580,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
23-03-2026,3210.22300,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-03-2026,3218.86390,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
18-03-2026,3220.84830,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
17-03-2026,3218.55390,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
16-03-2026,3217.32100,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
13-03-2026,3218.15130,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
12-03-2026,3220.27610,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
11-03-2026,3224.56730,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
10-03-2026,3223.77580,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
09-03-2026,3219.46280,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
06-03-2026,3223.52440,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
05-03-2026,3222.81650,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
04-03-2026,3220.97190,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-03-2026,3223.11630,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
28-02-2026,3222.04200,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-02-2026,3221.47910,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
26-02-2026,3220.95090,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
25-02-2026,3220.20690,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
24-02-2026,3219.55960,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
23-02-2026,3218.95670,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-02-2026,3217.57970,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
18-02-2026,3217.40890,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
17-02-2026,3217.85930,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
16-02-2026,3217.60820,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
13-02-2026,3215.95720,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
12-02-2026,3213.48490,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
11-02-2026,3210.50680,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
10-02-2026,3209.23520,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
09-02-2026,3208.82880,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
06-02-2026,3208.00740,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
05-02-2026,3210.61770,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
04-02-2026,3207.46940,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
03-02-2026,3204.02800,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-02-2026,3201.12150,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
31-01-2026,3200.48920,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
30-01-2026,3199.95440,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
29-01-2026,3198.34590,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
28-01-2026,3197.77610,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-01-2026,3198.96650,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
23-01-2026,3197.39480,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
22-01-2026,3196.90420,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
21-01-2026,3194.59090,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-01-2026,3194.46240,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
19-01-2026,3195.56990,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
16-01-2026,3196.28650,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
14-01-2026,3198.70270,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
13-01-2026,3199.72090,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
12-01-2026,3201.33190,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
09-01-2026,3200.13410,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
08-01-2026,3200.07750,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
07-01-2026,3199.99280,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
06-01-2026,3200.33380,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
05-01-2026,3200.37620,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-01-2026,3201.74760,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
01-01-2026,3202.15250,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
31-12-2025,3201.78970,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
30-12-2025,3199.51880,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
29-12-2025,3200.66250,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
26-12-2025,3199.48680,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
24-12-2025,3198.58240,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
23-12-2025,3195.33430,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
22-12-2025,3195.91360,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
19-12-2025,3195.64030,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
18-12-2025,3195.44150,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
17-12-2025,3195.79180,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
16-12-2025,3197.13490,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
15-12-2025,3197.30030,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
12-12-2025,3198.64400,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
11-12-2025,3198.59180,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
10-12-2025,3197.98860,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
09-12-2025,3200.15130,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
08-12-2025,3202.79600,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
05-12-2025,3203.20220,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
04-12-2025,3200.17320,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
03-12-2025,3200.39820,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
02-12-2025,3200.02380,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
01-12-2025,3200.60210,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
30-11-2025,3202.27300,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
28-11-2025,3201.25620,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
27-11-2025,3201.30130,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
26-11-2025,3201.16780,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
25-11-2025,3199.32080,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
24-11-2025,3198.47640,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
21-11-2025,3196.26640,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
20-11-2025,3197.27940,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
19-11-2025,3196.54270,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
18-11-2025,3195.34030,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
17-11-2025,3195.45080,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
